829,朋友推荐的这款笔记本，真的还不错，不卡顿，运行效果极好，好东西值得推荐。
344,感觉还好吧，不是想象中的样子，有点卡
816,包裹挺好的，感谢 电脑还没用，先不做评价
87,电脑外观很不错 也很方便携带 不打游戏办公制图可以入手
656,入手就降价，坑!!!!
273,风扇声音特别大，存电性能不好
53,也是对比好几家，还是选择这家的，质量不错，外型好看，价钱实在，值得购买
132,电脑性能：挺流畅的，不会卡顿，开机也很快
841,电脑收到了，还不错哦，开机速度快，屏幕清晰。
770,电脑收到了，开心！和描述的一样，而且包装很严实，没有损伤，以后带出去就方便了！
189,暂时给个中评吧，毕竟第一次买电脑，而且我不熟悉**系统，还算流畅，客服还可以，快递给五星好评！！！！
685,不好用
502,给上大学的女儿买的，浏览网页字体颜色很淡，感觉屏幕不好。
287,触摸板不能用，驱动不正确，官方无触摸板驱动
58,明显被别人用过！键盘上有指纹印！
423,电脑很好质量不错，吃鸡神器
494,东西不错 ，想买个备用放在家里。 选的老款的版本。 老板贴了膜和键盘膜，成色真心不错。 下次继续合作
177,不咋滴
56,一直都相信tp的品质，但这次机器到手后键盘居然脱落了，而且还未激活系统机器就发热得比我旧的tp e330厉害，让我怀疑自己的人品
157,运行速度很快屏幕很清晰，视觉效果很好。打游戏一点都不卡，价格很优惠。
418,笔记本拿回来试了两天，运行挺快的，不卡，也可以玩玩小游戏，整体不错。
650,我买的低配版，不玩游戏还是可以的！不过他送的东西是真的差，贴上去全是气泡，过两天再来评价吧！
372,电脑很不错开机速度超级快 客服也很棒 很喜欢
375,电脑收到了，很好很给力，运行很流畅，电脑很薄，画面很清晰，尤其是服务太好了，值得购买
477,一个赠品没有，属实有点。。。
681,刚买完就降价了，差评
425,本本收到了，外观非常漂亮，速度非常快，超级喜欢满意。
794,买了几天就又降价，而且除了电脑什么也没有，以后还是得去实体店买
366,我唯一要说的是客服服务态度真差，差到了极点
534,晕，刚买完就降价了
869,帮家人买的，外观看起来挺不错，刚开始总的说挺不错的，希望后续也能保持那么好。
793,声音比较大
