1,画质,清晰,硬件&性能,正面
1,网速,很快,硬件&性能,正面
1,吃鸡,不卡,使用场景,正面
1,携带,方便,外观,正面
1,_,不错,整体,正面
2,物流速度,很棒,物流,正面
2,包装,很好,包装,正面
3,_,挺好看,外观,正面
3,_,是有点慢,外观,负面
3,_,有点卡,硬件&性能,负面
3,_,那么好,整体,负面
4,游戏,不卡,使用场景,正面
4,吃鸡,最喜欢,整体,正面
4,_,反正,硬件&性能,正面
4,_,还不错,整体,正面
5,外观,好看,外观,正面
5,开机速度,快,硬件&性能,正面
5,运行,五星好评,硬件&性能,正面
5,_,非常惊,整体,正面
6,包装,特别严实,包装,正面
6,按键,灵活,硬件&性能,负面
6,价格,真心不错,价格,负面
6,外观设计,_,外观,正面
6,_,特别流畅,硬件&性能,负面
7,反应,挺快,硬件&性能,正面
7,_,物正好,价格,正面
7,_,很喜欢,整体,正面
8,包裹,很严实,包装,正面
8,_,非常好,整体,正面
8,时间,_,硬件&性能,正面
8,_,太喜欢,整体,正面
9,开机,快,硬件&性能,正面
9,运行,流畅,硬件&性能,正面
9,玩大游戏,一点不卡顿,使用场景,正面
9,质量,很好,整体,正面
9,_,非常满意,整体,正面
10,系统,挺流畅,软件&性能,正面
10,外观,挺好看,外观,正面
10,_,挺爽,整体,正面
10,_,很喜欢满意,整体,正面
11,屏幕,很精致,外观,正面
11,声音,清晰,硬件&性能,正面
11,运行速度,快,硬件&性能,正面
11,价格,低廉,价格,负面
11,外观,_,外观,正面
11,开机,_,硬件&性能,正面
12,_,不错,整体,正面
12,键错,_,整体,正面
13,包装,完好,包装,正面
13,质量,非常好,整体,正面
13,做工,好,外观,正面
13,显卡速度,快,硬件&性能,正面
13,影像,清晰,硬件&性能,正面
13,携带,方便,外观,正面
13,外观材质,_,外观,正面
13,_,很实用,整体,正面
14,玩游戏,流畅,使用场景,正面
14,画面,清晰,硬件&性能,正面
14,_,满意,整体,正面
15,速度,不差,硬件&性能,负面
15,_,良好,整体,正面
16,_,垃圾,整体,负面
17,_,很好,整体,正面
17,_,很不错,整体,正面
18,_,很不错,整体,正面
18,_,很喜欢,整体,正面
19,性价比,挺高,价格,正面
19,包装,很严密,包装,正面
19,_,很顺畅,硬件&性能,正面
20,开机,快,硬件&性能,正面
21,手感,超级好,外观,正面
21,_,很漂亮,外观,正面
21,_,有点卡,硬件&性能,负面
22,_,很喜欢,整体,正面
23,性能,非常棒,硬件&性能,负面
23,打游戏,非常流畅,使用场景,正面
23,_,喜欢,整体,负面
23,_,好评,整体,负面
24,_,的卡,硬件&性能,负面
24,_,仅供,外观,负面
25,_,_,_,_
26,价格,合适,价格,正面
26,玩游戏,不卡机,使用场景,正面
26,外观,大气,外观,正面
27,画面,清晰,硬件&性能,正面
27,操作,流畅满意,使用场景,正面
28,外观,凑合,外观,正面
28,_,的是太低根,硬件&性能,负面
28,_,没法用,其他,负面
29,玩游戏,一点也不卡,使用场景,正面
29,外观,好看,外观,正面
29,携带,方便,外观,正面
29,价格,非常实惠,价格,正面
29,上网,挺快,使用场景,正面
29,大小,_,外观,正面
30,性能,挺好的,硬件&性能,正面
30,价格,实惠,价格,正面
30,外观,很新,外观,正面
30,性价比,高,价格,正面
31,运行速度,很快,硬件&性能,正面
31,游戏画面,很清晰,硬件&性能,正面
31,样式,喜欢,外观,正面
31,性能,_,硬件&性能,正面
31,_,一点都不卡,硬件&性能,正面
31,_,卡,硬件&性能,正面
31,外观材质,_,外观,正面
31,做工,_,外观,正面
32,_,太沉了,整体,中性
33,屏幕,有亮点,硬件&性能,负面
33,质量,_,整体,负面
34,性价比,高,价格,正面
34,外观,很难看,外观,正面
34,运行速度,很快,硬件&性能,正面
34,_,经脏,其他,负面
35,_,降价,价格,负面
36,_,请退差,整体,负面
37,_,有杂音,硬件&性能,正面
37,_,按咔咔响,硬件&性能,正面
38,性能,算流畅,硬件&性能,正面
38,外观材质,_,外观,正面
38,_,很舒服,整体,正面
38,_,好看,外观,正面
38,_,可以,整体,正面
39,_,挺流畅不错,硬件&性能,正面
40,运行速度,快,硬件&性能,正面
40,外观,挺新的,外观,正面
40,价格,很实惠,价格,正面
41,风扇,声太大,硬件&性能,负面
41,_,失望,整体,负面
42,_,不错,整体,正面
42,_,很好,整体,正面
43,_,还不错,整体,正面
43,_,好评,整体,正面
44,_,很少,整体,负面
45,_,经常无缘无故黑屏,硬件&性能,负面
46,开机速度,非常快,硬件&性能,正面
46,发货速度,很快,物流,正面
46,运作,很流畅,物流,正面
46,_,物美价廉,价格,正面
46,_,非常好,整体,正面
47,_,很牛批了,硬件&性能,负面
48,屏幕分辨率,彩不行,硬件&性能,负面
49,画质,清晰,硬件&性能,正面
49,携带,比较流畅,外观,正面
49,性能,_,硬件&性能,正面
49,_,很满意,整体,正面
50,_,黑屏,硬件&性能,负面
51,性能,挺好,硬件&性能,正面
51,显卡效果,挺快,硬件&性能,正面
51,外观材质,挺好满意,外观,正面
52,_,大大大,硬件&性能,负面
52,_,大,外观,负面
52,_,差评,整体,负面
52,客服态度,_,服务,负面
52,_,最大差评,整体,负面
53,屏幕,不亮,硬件&性能,负面
53,_,挺好的,整体,正面
53,_,黑屏,硬件&性能,负面
53,_,是不行,整体,负面
54,音响破音,_,硬件&性能,负面
55,售后,不行,服务,正面
56,_,非常满意,整体,正面
57,_,出现,硬件&性能,负面
57,_,黑屏,硬件&性能,负面
57,_,蓝屏,硬件&性能,负面
58,上网,快,使用场景,正面
58,外观,漂亮,外观,正面
58,_,音质,硬件&性能,正面
58,_,不错,整体,正面
59,速度,很流畅,硬件&性能,负面
59,_,不卡,硬件&性能,负面
60,客服服务,很好,服务,正面
60,_,很nice,整体,正面
60,_,不错,整体,正面
61,送货,快,物流,正面
61,包装,好,包装,正面
61,操作,流畅,软件&性能,正面
61,反应,非常快,硬件&性能,正面
61,功能,慢,真伪,正面
61,系统,_,包装,正面
61,风扇静音,_,硬件&性能,负面
62,内存,大,硬件&性能,正面
62,运程,很快,硬件&性能,正面
63,性能,不错,硬件&性能,正面
63,运行,很快,硬件&性能,正面
63,_,满意,整体,正面
64,质量,很好,整体,正面
64,速度,很快,硬件&性能,正面
64,_,很养眼,整体,正面
64,_,不错,整体,正面
64,_,真心喜欢,整体,正面
65,款式,时尚,外观,正面
65,打游戏,不卡顿,使用场景,正面
65,配置,不错,硬件&性能,正面
65,_,小巧方便携带,外观,正面
65,_,很满意,整体,正面
66,反应,很快,硬件&性能,正面
66,_,特别好,整体,负面
66,_,很喜欢,整体,正面
67,_,有点后悔,外观,负面
68,_,买早了,价格,负面
69,_,不释手了,硬件&性能,负面
70,_,很不愉,整体,负面
71,运行速度,不错,硬件&性能,正面
71,_,超薄,外观,正面
71,性能,_,硬件&性能,正面
71,_,满意,整体,正面
72,_,死机,硬件&性能,负面
73,外观材质,高端大气上档次,外观,正面
73,客服,很热情,服务,正面
73,_,好评,整体,正面
74,_,挺不错的,整体,正面
75,外观,很好看,外观,正面
75,反应,不卡,硬件&性能,负面
75,_,很喜欢,整体,正面
75,_,很轻便,外观,正面
75,_,很满意,整体,正面
76,_,挺好的,整体,正面
76,_,没翻车,真伪,正面
77,做资料,挺好,整体,负面
77,_,不错,整体,负面
77,_,物超所值,价格,正面
78,质量,特别好,整体,正面
78,玩游戏,一点不卡,使用场景,正面
78,界面,非常清晰,硬件&性能,正面
79,显示卡效果,很棒,硬件&性能,正面
79,材质,非常好,外观,正面
79,外观,很不错,外观,正面
79,性能,_,硬件&性能,正面
80,_,差评,整体,负面
81,手感,还行,外观,正面
81,屏幕清晰度,不错,硬件&性能,正面
81,发热,_,硬件&性能,负面
81,散热,_,硬件&性能,负面
82,运行速度,出其意,硬件&性能,正面
82,性价比,_,价格,正面
82,_,不亏,其他,负面
83,物流,很快,物流,正面
83,_,不错,整体,正面
83,_,很漂亮,外观,正面
84,质量,很好,整体,正面
84,画面,清晰,硬件&性能,正面
84,运行,流畅,硬件&性能,正面
84,外观,小巧精致,外观,正面
84,方面,非常满意,整体,正面
84,_,携带,外观,正面
85,质量,_,整体,负面
86,开机速度,挺快,硬件&性能,正面
86,_,还好,整体,正面
87,打游戏,卡,使用场景,正面
87,客服根,本解决,服务,负面
88,价格,_,价格,负面
88,_,降价,价格,负面
88,_,保价,价格,负面
89,物流,很快,物流,正面
90,_,什么,整体,负面
90,_,差评,整体,负面
91,反应,快,硬件&性能,正面
91,内存,大,硬件&性能,正面
91,_,不卡,硬件&性能,正面
91,_,满意,整体,正面
92,_,挺满意,整体,负面
93,电池,不耐用,硬件&性能,负面
93,_,很快,硬件&性能,负面
94,价格,不贵,价格,负面
95,_,很好,整体,正面
95,_,很喜欢,整体,正面
95,_,很适,整体,正面
96,_,不错,整体,正面
96,_,很顺感,硬件&性能,正面
96,_,很灵活小巧,外观,正面
96,_,方便出差,整体,正面
97,画质,很清晰,硬件&性能,正面
97,运行,很流畅,硬件&性能,正面
97,_,挺好,整体,正面
97,_,特别满意,整体,正面
98,物流,很快,物流,正面
98,性价比,高,价格,正面
98,运行,流畅,硬件&性能,正面
99,_,圾什么都不送,硬件&性能,负面
100,质量,挺好,整体,正面
100,价格,实惠,价格,正面
100,用效果,不错,整体,正面
100,_,非常满意,整体,正面
101,看视频风扇声音,_,硬件&性能,负面
101,_,会爆炸,硬件&性能,负面
102,屏幕,很清晰,硬件&性能,正面
102,_,方便,整体,正面
102,_,非常满意,整体,正面
103,质量,很好,整体,正面
103,散热,很快,硬件&性能,正面
103,成色,_,外观,正面
103,_,很舒畅不错,硬件&性能,正面
103,_,物流,价格,正面
103,_,超快,硬件&性能,正面
104,_,有点卡,硬件&性能,负面
105,性能,很好,硬件&性能,正面
106,_,黑了,硬件&性能,负面
107,外观,很好看,外观,正面
107,性价比,超高,价格,正面
107,_,很好,整体,正面
108,_,黑屏,硬件&性能,负面
108,_,闪屏,硬件&性能,负面
109,_,降价,价格,负面
110,屏幕,很清晰,硬件&性能,正面
110,看电视看电影,一点都不卡,使用场景,正面
110,价格,不贵,价格,正面
110,_,好评,整体,正面
111,看个视频,卡,使用场景,负面
112,性能,好,硬件&性能,正面
112,显卡效果,清晰,硬件&性能,正面
112,网速,流畅,硬件&性能,正面
113,_,挺满意,整体,正面
113,fice,_,整体,负面
113,发热,_,硬件&性能,负面
114,_,卡的要死,硬件&性能,负面
115,_,很满意,整体,正面
116,运行,非常快,硬件&性能,正面
116,画面,高清,硬件&性能,正面
116,_,很薄,外观,正面
117,_,降价,价格,负面
118,性能,不错,硬件&性能,正面
119,_,一般,整体,中性
120,玩游戏,流畅,使用场景,正面
120,显示屏,清晰,硬件&性能,正面
120,性价比,高,价格,正面
120,_,不错,整体,正面
121,_,挺好,整体,正面
121,_,好评,整体,正面
122,性能,很强,硬件&性能,正面
122,外观,时尚,外观,正面
122,质量,很好,整体,正面
122,屏幕,清大,硬件&性能,正面
122,_,轻便,外观,正面
122,_,很满意,整体,正面
123,_,不错,整体,正面
123,_,降价,价格,负面
123,_,太短了,真伪,正面
124,_,非常适合,整体,正面
125,价格,很实惠,价格,正面
125,_,还可以,整体,正面
126,客服,不错,服务,负面
127,性价比,高,价格,正面
127,_,不错,整体,正面
127,_,方便携带,外观,正面
128,质量,很好,整体,正面
128,物流,很快,物流,正面
128,_,正品,真伪,正面
129,外观塑料感太强塑料,很软,硬件&性能,负面
129,屏幕,_,硬件&性能,负面
130,_,很满意,整体,正面
130,_,物美价廉,价格,正面
131,质量,很好,整体,正面
131,做工,精致,外观,正面
