13649,很好用，很温和值得推荐
7833,宝贝收到了拿回来卸了妆就用了  精华液很多  很喜欢
9071,感觉很好，喜欢！
7813,应该是正品吧，觉得还行
9348,一直在用这个牌子得东西，不错，养护需要时间
3128,面膜收到了，东西很好，下次还会再来，祝老板生意兴隆，大家喜欢的可以买，是正品
13359,非常适合敏感肌，补水效果还可以，用段时间试试在说
11419,颜值高，而且真的很清爽呀
8709,本来抱着试试看的态度，结果效果很好，很开森
13803,25号下单买的，31号就降价了5百，现在**是不是不能保价了？心里很不爽
8040,挺划算的，刚好也是刚需，毕竟啥都能放弃，唯独美白大计不能放，尤其是太阳毒辣的6月，愿这个夏天不会晒黑了
10550,清洁能力：好用泡沫多.一只都使用*** 个人情况：25岁 整体描述：很奈斯好用
4138,清爽，适合夏天用，先囤货
5583,补水，用完没有紧绷感，皮肤都好了很多呢
12513,看了***的推荐来买的，用了以后发现这款面膜很好用！
9045,质量不好 色差太大
6239,婆婆一直用这个牌子得，说比较好用，回购了好多次了
10956,这款用了好几瓶了，中间也用过其他品牌还是感觉这款比较好用
614,活动时候买的，挺划算的，还送了几片。买吧买吧！
13135,以前买过的挺好用的，又来买了
12842,味道很喜欢，价格也很划算
8075,用起来好
166,蛮合算的，涂着也舒服好用！！
12401,客服服务态度很好，使用后效果也非常好，以后会继续光顾的
928,非常满意，和描述的一样
14279,物流慢，客服不作为，问什么，都是叫我自己看，，，，，，，，，，，，，，，，，，，，体验感差，系统不好用，
1819,我是偶然买的这个牌子的BB然后注意这个品牌的，这个隔离挺好用的，以后会继续关注
10997,不好，不值得购买
653,到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢
4038,用了2次不错，清洁的很干净
6123,宝贝收到了  一直用这牌子 这次搞活动 买的价格便宜  很划算  用完再来
5896,混油皮表示非常好用，北京五月的天气下并不油腻，已再次购买😻
4899,宝贝已经收到了，满意好评！
6671,无法想象的差
12386,嗯，用着挺好的，容易推开，效果不错
7577,还不错，睫毛短也不是很夹肉，只是感觉弹簧有些松，胜在比较便宜
11380,超nice 自然白，不假白，适合中性皮肤
7384,应该是正品吧，一直用的****这款洗面奶感觉很好用，所以买个水试试
1833,洗过脸之后感觉好干净，不紧绷。
5641,属于清爽型爽肤水，适合夏季
8555,一共有两替换装，超值的，而且挺上色，喜欢这个
